"autoNo","No","開催日","yyyymmdd","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","1","3","3","ジューンベロシティ","牡6","牡","6","60.0","高田","3:26.5","","2","3.3","13.3","1-2-1-1","栗東武英","468(+2)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"2","2","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","2","6","9","ロスコフ","牡6","牡","6","60.0","草野","3:26.6","クビ","6","16.8","13.3","6-6-4-3","美浦久保田","502(-2)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"3","3","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","3","8","13","ヴェイルネビュラ","セ6","セ","6","60.0","五十嵐","3:27.5","5","5","15.9","13.3","13-13-6-5","美浦大竹","492(-2)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"4","4","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","4","6","10","ブラックボイス","牡5","牡","5","60.0","石神深","3:28.2","4","3","4.6","13.4","3-1-2-2","美浦宮田","520(+2)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"5","5","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","5","7","11","サクセスエース","牡6","牡","6","60.0","上野","3:28.2","アタマ","8","34.7","13.4","4-3-5-5","美浦竹内","496(0)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"6","6","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","6","7","12","トゥルボー","牡8","牡","8","60.0","中村","3:28.3","3/4","12","118.3","13.4","2-3-3-3","美浦小笠","514(-8)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"7","7","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","7","8","14","オールザワールド","牡7","牡","7","60.0","森一","3:28.7","2","1","2.7","13.4","8-7-6-5","栗東中竹","470(-2)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"8","8","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","8","4","6","ロードトゥフェイム","牡6","牡","6","60.0","坂口","3:29.5","5","7","21.4","13.5","8-9-12-12","美浦尾形","504(0)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"9","9","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","9","5","8","ナリノモンターニュ","牡7","牡","7","60.0","金子","3:30.0","3","10","48.3","13.5","12-10-11-10","美浦上原博","522(+4)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
"10","10","2024年6月22日","20240622","東京","8R","東京ジャンプステークス","障3110m (芝)","14:01発走","晴","稍","10","1","1","ダイシンクローバー","セ8","セ","8","61.0","黒岩","3:30.6","3.1/2","11","49.6","13.5","6-7-8-8","栗東高橋一","496(-12)","https://race.netkeiba.com/race/result.html?race_id=202405030708&rf=race_list"
