autoNo,No,開催日,開催地,レースNo,レース名,距離,発走時刻,天候,馬場,着順,枠,馬番,馬名,性齢,gender,age,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),url
1,1,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,1,5,9,セギレエルビエント,牝3,牝,3,55,横山和,1:26.7,,1,1.8,37.6,,美浦伊坂,460(+4),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
2,2,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,2,6,12,シュレン,牝3,牝,3,55,三浦,1:27.4,4,2,3.7,37.3,,美浦千葉,380(+8),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
3,3,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,3,5,10,ガラク,牝3,牝,3,55,吉田豊,1:27.6,1.1/2,13,165.8,37.7,,美浦伊坂,432(0),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
4,4,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,4,2,3,ルージュアマリア,牝3,牝,3,54,☆原,1:27.7,クビ,8,55.1,37.1,,美浦黒岩,398(-2),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
5,5,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,5,3,6,オブシディアーナ,牝3,牝,3,55,菅原明,1:28.0,1.3/4,4,10.4,37.7,,美浦国枝,470(-2),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
6,6,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,6,7,13,ペイシャケリー,牝3,牝,3,55,野中,1:28.4,2.1/2,12,131,37.9,,美浦本間,442(0),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
7,7,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,7,4,8,クリノフローレンス,牝3,牝,3,55,柴田大,1:28.6,1.1/4,14,185.2,38.1,,美浦南田,450(0),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
8,8,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,8,8,16,ティアップマッハ,牝3,牝,3,55,岩部,1:28.7,1/2,7,53.6,39.1,,美浦奥平,456(0),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
9,9,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,9,4,7,ロゴモコ,牝3,牝,3,55,原田和,1:28.8,1/2,10,65.1,39.5,,美浦小野,450(+8),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
10,10,2025年2月8日,東京,1R,3歳未勝利,ダ1400m (左),10:10,晴,良,10,1,2,ラナイ,牝3,牝,3,55,石川,1:29.2,2.1/2,5,12.4,38.4,,美浦伊藤大,458(+2),https://race.netkeiba.com/race/result.html?race_id=202505010301&rf=race_list
