"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","1","3","5","サードウインド","牝3","牝","3","55.0","横山武","1:12.0","","2.0","4.2","37.1","2-2","美浦西田","448(-10)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"2","2","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","2","4","7","キタノライブリー","牝3","牝","3","54.0","☆横山琉","1:12.2","1","5.0","28.3","37.1","3-3","美浦本間","446(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"3","3","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","3","7","14","デンリッレハウエル","牝3","牝","3","52.0","▲石田","1:12.9","4","8.0","47.1","37.4","6-6","美浦林","406(-8)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"4","4","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","4","2","4","イグニススピリタス","牝3","牝","3","55.0","柴田大","1:12.9","クビ","6.0","30.0","38.1","1-1","美浦田中剛","480(-10)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"5","5","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","5","3","6","ジョイナーテソーロ","牝3","牝","3","55.0","戸崎圭","1:13.0","クビ","4.0","6.5","37.1","10-10","美浦畠山","438(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"6","6","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","6","5","9","コウソクグルーヴ","牝3","牝","3","55.0","田辺","1:13.2","1.1/4","3.0","5.4","37.9","5-5","美浦中舘","440(+10)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"7","7","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","7","7","13","ラウレア","牝3","牝","3","52.0","▲水沼","1:13.5","1.1/2","7.0","31.0","37.9","7-8","美浦伊藤大","434(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"8","8","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","8","4","8","グリューネベルグ","牝3","牝","3","55.0","丹内","1:13.7","1.1/4","1.0","2.0","38.5","3-3","美浦青木","442(-2)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"9","9","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","9","6","12","ダルドワーズ","牝3","牝","3","55.0","石川","1:14.0","1.3/4","11.0","66.1","38.3","8-7","美浦池上","456(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"10","10","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","10","6","11","ジークマインド","牝3","牝","3","52.0","▲石神道","1:14.3","2","15.0","186.1","38.5","8-9","美浦和田雄","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"11","11","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","11","8","15","ベストレーサー","牝3","牝","3","52.0","▲上里","1:14.5","1.1/4","10.0","62.8","37.5","14-14","美浦小野","478(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"12","12","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","12","5","10","エスポワールドロワ","牝3","牝","3","55.0","菅原隆","1:14.6","1/2","16.0","238.1","38.1","11-11","美浦小手川","470(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"13","13","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","13","1","2","サクラパステル","牝3","牝","3","55.0","丸山","1:16.0","8","9.0","56.6","39.3","13-13","美浦田島","474(0)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"14","14","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","14","1","1","プレイアブルゲーム","牝3","牝","3","55.0","丸田","1:16.0","ハナ","14.0","185.6","38.5","15-15","美浦小笠","434(+4)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"15","15","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","15","2","3","ウイキャンウイン","牝3","牝","3","53.0","◇永島","1:16.1","1/2","13.0","171.5","39.7","11-12","美浦加藤和","434(+10)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"16","16","2025年3月8日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","曇","重","16","8","16","テングリ","牝3","牝","3","52.0","▲長浜","1:18.0","大","12.0","159.6","39.6","16-16","美浦的場","438(+12)","https://race.netkeiba.com/race/result.html?race_id=202506020301&rf=race_list"
"17","1","2025年3月8日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","曇","重","1","8","15","ハルノアラシ","牡3","牡","3","57.0","石川","1:55.5","","1.0","2.6","39.3","14-13-2-2","美浦相沢","514(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020302&rf=race_list"
"18","2","2025年3月8日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","曇","重","2","2","3","ラストレガシー","牡3","牡","3","57.0","横山武","1:55.6","クビ","4.0","7.2","39.4","1-1-2-1","美浦手塚久","484(-2)","https://race.netkeiba.com/race/result.html?race_id=202506020302&rf=race_list"
"19","3","2025年3月8日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","曇","重","3","7","13","ロングウェイホーム","牡3","牡","3","57.0","戸崎圭","1:55.8","1.1/2","2.0","3.2","39.6","6-2-1-2","美浦伊坂","528(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020302&rf=race_list"
"20","4","2025年3月8日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","曇","重","4","6","11","ヘリオトロープ","牡3","牡","3","57.0","丹内","1:55.8","ハナ","5.0","8.6","39.1","10-10-6-4","美浦萩原","484(0)","https://race.netkeiba.com/race/result.html?race_id=202506020302&rf=race_list"
"21","5","2025年3月8日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","曇","重","5","4","7","ニシノブレイゼスト","牡3","牡","3","57.0","菅原明","1:56.0","3/4","6.0","18.0","39.1","6-7-8-7","美浦高木","496(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020302&rf=race_list"
